Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]
77CN	0133	*	2014	1	12	21	10	-25.8000	57.1000		1	7	0	7	0	8.4	0
77CN	0134	*	2014	1	12	21	15	-25.7600	57.1000		1	7	0	7	0	8.6	0
77CN	0135	*	2014	1	12	21	20	-25.7200	57.1000		1	7	0	7	0	8.7	0
77CN	0136	*	2014	1	12	21	25	-25.6800	57.1000		1	7	0	7	0	8.7	0
77CN	0137	*	2014	1	12	21	30  -25.6400  57.1000		1	7	0	7	0	8.4	0
77CN	0138	*	2014	1	12	21	35	-25.6000	57.1000		1	7	0	7	0	8.3	0
77CN	0139	*	2014	1	12	21	40	-25.5600	57.1000		1	7	0	7	0	8.3	0
77CN	0140	*	2014	1	12	21	45	-25.5100	57.1000		1	7	0	7	0	8.3	0
77CN	0141	*	2014	1	12	21	50	-25.4700	57.1000		1	7	0	7	0	8.1	0
77CN	0142	*	2014	1	12	21	55	-25.4300	57.1000		1	7	0	7	0	8.1	0
77CN	0143	*	2014	1	12	22	0	-25.3900	57.1000		1	7	0	7	0	8.3	0
77CN	0144	*	2014	1	12	22	5	-25.3500	57.1000		1	7	0	7	0	8.6	0
77CN	0145	*	2014	1	12	22	10	-25.3100	57.1000		1	7	0	7	0	8.7	0
77CN	0146	*	2014	1	12	22	15	-25.2700	57.1000		1	7	0	7	0	9.0	0
77CN	0147	*	2014	1	12	22	20	-25.2300	57.1000		1	7	0	7	0	8.7	0
77CN	0148	*	2014	1	12	22	25	-25.1900	57.1100		1	7	0	7	0	8.7	0
77CN	0149	*	2014	1	12	22	30	-25.1400	57.1100		1	7	0	7	0	9.0	0
77CN	0150	*	2014	1	12	22	35	-25.1000	57.1100		1	7	0	7	0	9.0	0
77CN	0151	*	2014	1	12	22	40	-25.0600	57.1100		1	7	0	7	0	9.0	0
77CN	0152	*	2014	1	12	22	45	-25.0200	57.1100		1	7	0	7	0	8.9	0
77CN	0153	*	2014	1	12	22	50	-24.9800	57.1100		1	7	0	7	0	8.9	0
77CN	0154	*	2014	1	12	22	55	-24.9400	57.1100		1	7	0	7	0	9.0	0
77CN	0155	*	2014	1	12	23	0	-24.9000	57.1100		1	7	0	7	0	9.0	0
77CN	0156	*	2014	1	12	23	5	-24.8600	57.1100		1	7	0	7	0	9.2	0
77CN	0157	*	2014	1	12	23	10	-24.8200	57.1100		1	7	0	7	0	9.3	0
77CN	0158	*	2014	1	12	23	15	-24.7700	57.1100		1	7	0	7	0	9.2	0
77CN	0159	*	2014	1	12	23	20	-24.7300	57.1100		1	7	0	7	0	9.2	0
77CN	0160	*	2014	1	12	23	25	-24.6900	57.1100		1	7	0	7	0	9.5	0
77CN	0161	*	2014	1	12	23	30	-24.6500	57.1100		1	7	0	7	0	9.5	0
77CN	0162	*	2014	1	12	23	35	-24.6100	57.1100		1	7	0	7	0	9.5	0
77CN	0163	*	2014	1	12	23	40	-24.5700	57.1100		1	7	0	7	0	9.5	0
77CN	0164	*	2014	1	12	23	45	-24.5300	57.1100		1	7	0	7	0	9.5	0
77CN	0165	*	2014	1	12	23	50	-24.4900	57.1100		1	7	0	7	0	9.5	0
77CN	0166	*	2014	1	12	23	55	-24.4500	57.1100		1	7	0	7	0	9.8	0
77CN	0167	*	2014	1	13	0	0	-24.4000	57.1100		1	7	0	7	0	9.8	0
77CN	0168	*	2014	1	13	0	5	-24.3600	57.1100		1	7	0	7	0	9.9	0
77CN	0169	*	2014	1	13	0	10	-24.3200	57.1200		1	7	0	7	0	9.8	0
77CN	0170	*	2014	1	13	0	15	-24.2800	57.1200		1	7	0	7	0	9.5	0
77CN	0171	*	2014	1	13	0	20	-24.2400	57.1200		1	7	0	7	0	9.5	0
77CN	0172	*	2014	1	13	0	25	-24.2000	57.1200		1	7	0	7	0	9.5	0
77CN	0173	*	2014	1	13	0	30	-24.1600	57.1200		1	7	0	7	0	9.5	0
77CN	0174	*	2014	1	13	0	35	-24.1200	57.1200		1	7	0	7	0	9.5	0
77CN	0175	*	2014	1	13	0	40	-24.0800	57.1200		1	7	0	7	0	9.2	0
77CN	0176	*	2014	1	13	0	45	-24.0300	57.1200		1	7	0	7	0	9.3	0
77CN	0177	*	2014	1	13	0	50	-23.9900	57.1200		1	7	0	7	0	9.2	0
77CN	0178	*	2014	1	13	0	55	-23.9500	57.1200		1	7	0	7	0	9.2	0
77CN	0179	*	2014	1	13	1	0	-23.9100	57.1200		1	7	0	7	0	9.2	0
77CN	0180	*	2014	1	13	1	5	-23.8700	57.1200		1	7	0	7	0	9.2	0
77CN	0181	*	2014	1	13	1	10	-23.8300	57.1200		1	7	0	7	0	9.2	0
77CN	0182	*	2014	1	13	1	15	-23.7900	57.1200		1	7	0	7	0	9.2	0
77CN	0183	*	2014	1	13	1	20	-23.7500	57.1200		1	7	0	7	0	9.2	0
77CN	0184	*	2014	1	13	1	25	-23.7100	57.1200		1	7	0	7	0	9.8	0
